Rk,Player,Age,Team,Pos,G,GS,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
62,Obi Toppin,26,IND,PF,79,4,1545,17.4,.642,.503,.190,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,2.7,1.6,4.3,.135,1.8,-0.1,1.7,1.4,,toppiob01
63,Trey Murphy III,24,NOP,SF,53,51,1854,17.3,.598,.522,.274,2.7,13.2,7.8,15.9,1.5,2.0,9.9,23.7,3.0,0.5,3.5,.091,2.1,-1.4,0.8,1.3,,murphtr02
64,Zach LaVine,29,2TM,SG,74,74,2602,17.3,.639,.438,.233,0.9,12.0,6.5,18.3,1.1,0.4,13.4,25.3,3.7,1.4,5.1,.094,2.3,-1.6,0.7,1.8,,lavinza01
65,Santi Aldama,24,MEM,PF,65,16,1660,16.8,.588,.503,.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,.144,2.5,0.7,3.2,2.2,,aldamsa01
66,Jordan Poole,25,WAS,SG,68,68,2001,16.6,.591,.588,.259,1.6,9.0,5.3,25.6,2.0,1.2,14.8,29.0,1.2,0.8,2.0,.047,2.0,-1.6,0.4,1.2,,poolejo01
67,Collin Sexton,26,UTA,SG,63,61,1758,16.6,.593,.313,.290,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27.0,2.5,-0.1,2.4,.066,1.7,-2.3,-0.6,0.6,,sextoco01
68,Derrick White,30,BOS,SG,76,76,2574,16.6,.606,.721,.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,.158,2.7,0.8,3.5,3.6,DPOY-10,whitede01
69,Josh Hart,29,NYK,SG,77,77,2897,16.5,.611,.327,.266,6.4,22.6,14.6,20.7,2.0,0.9,15.5,15.3,5.4,3.8,9.2,.153,1.1,1.8,2.8,3.6,,hartjo01
70,Nic Claxton,25,BRK,C,70,62,1882,16.5,.569,.037,.271,9.0,22.7,15.5,13.7,1.6,5.3,12.0,16.8,1.8,2.5,4.3,.110,-1.1,1.5,0.4,1.1,,claxtni01
71,RJ Barrett,24,TOR,SF,58,58,1869,16.5,.547,.312,.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,.061,1.2,-0.7,0.6,1.2,,barrerj01
